Titles,Year,Rating,IMDB_Rating,Netflix_Availability
Breaking Bad,2008,18+,9.5,Yes
Game of Thrones,2011,18+,9.3,No
Rick and Morty,2013,18+,9.2,No
Dark,2017,16+,8.8,Yes
Stranger Things,2016,16+,8.8,Yes
Avatar: The Last Airbender,2005,7+,9.2,Yes
Sherlock,2010,16+,9.1,Yes
Chernobyl,2019,18+,9.4,No
Friends,1994,16+,8.9,No
The Office,2005,16+,8.9,Yes
Better Call Saul,2015,18+,8.7,Yes
The Wire,2002,18+,9.3,No
Supernatural,2005,16+,8.4,No
Fargo,2014,18+,8.9,No
Black Mirror,2011,18+,8.8,Yes
Band of Brothers,2001,18+,9.4,No
Attack on Titan,2013,16+,8.8,No
House,2004,16+,8.7,No
Money Heist,2017,18+,8.4,Yes
Peaky Blinders,2013,18+,8.8,Yes
Mr. Robot,2015,18+,8.5,No
Vikings,2013,18+,8.5,No
The Sopranos,1999,18+,9.2,No
The Simpsons,1989,7+,8.7,No
The Mandalorian,2019,7+,8.7,No
Lost,2004,16+,8.3,No
Westworld,2016,18+,8.7,No
The Umbrella Academy,2019,16+,8,Yes
Narcos,2015,18+,8.8,Yes
True Detective,2014,18+,9,No
Marvel's Daredevil,2015,18+,8.6,Yes
Brooklyn Nine-Nine,2013,16+,8.4,No
The Walking Dead,2010,18+,8.2,Yes
Parks and Recreation,2009,16+,8.6,No
Mindhunter,2017,18+,8.6,Yes
South Park,1997,18+,8.7,No
Suits,2011,16+,8.5,No
Hannibal,2013,18+,8.5,Yes
Dexter,2006,18+,8.6,No
Community,2009,7+,8.5,No
Fringe,2008,16+,8.4,No
Modern Family,2009,16+,8.4,No
The Big Bang Theory,2007,16+,8.1,No
Firefly,2002,16+,9,No
Mad Men,2007,16+,8.6,No
Fullmetal Alchemist: Brotherhood,2009,18+,9.1,No
Ozark,2017,18+,8.4,Yes
The Witcher,2019,18+,8.2,Yes
Lucifer,2016,16+,8.2,Yes
It's Always Sunny in Philadelphia,2005,18+,8.8,No
